gene_id,symbol,description
FBgn0001235,hth,
FBgn0004045,Yp1,
FBgn0004595,pros,
FBgn0005391,Yp2,
FBgn0016694,Pdp1,
FBgn0016917,Stat92E,
FBgn0267033,mamo,
FBgn0284245,eEF1alpha1,
FBgn0027339,jim,
FBgn0027560,Tps1,
FBgn0263120,Acsl,
FBgn0264490,Eip93F,
FBgn0267336,Glut4EF,
FBgn0039562,gp93,paper
FBgn0026761,trap1,paper
FBgn0001233,hsp83,paper
FBgn0262739,Ago1,paper
FBgn0087035,Ago2,paper
FBgn0250816,Ago3,paper
FBgn0039016,Dcr-1,paper
FBgn0034246,Dcr-2,paper
FBgn0266599,Hsc70-4,L2L1_rewiring
